二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
是时君、相务反会昌之政，故僧、尼之弊皆复其旧	这时，唐宣宗和白敏中等君主、宰相，都竭力反对会昌年间唐武宗和李德裕的政策，所以僧侣、尼姑的弊端全部恢复了原样
己酉，积庆太后萧氏崩	己酉，唐文宗的母亲积庆太后萧氏驾崩
五月，幽州节度使张仲武大破诸奚	五月，幽州节度使张仲武率军大破诸奚族部落
吐蕃论恐热乘武宗之丧，诱党项及回鹘余众寇河西，诏河东节度使王宰将代北诸军击之	吐蕃统帅论恐热趁唐武宗丧事的机会，引诱党项族以及回鹘国的残余部众入侵唐朝河西诸郡，唐宣宗颁下诏书，令河东节度使王宰率领代北诸支军队讨伐论恐热
宰以沙陀朱邪赤心为前锋，自麟州济河，与恐热战于盐州，破走之	王宰任命沙陀族酋领朱邪赤心为前锋，从麟州渡过黄河，与论恐热接战于盐州，将论恐热击败并赶走
六月，以鸿胪卿李业为册黠戛斯英武诚明可汗使	六月，唐宣宗任命鸿胪卿李业为册封黠戛斯英武诚明可汗使
秋，八月，丙申，以门下侍郎、同平章事李回同平章事、充西川节度使	秋季，八月，丙申，唐宣宗任命门下侍郎、同平章事李回挂同平章事衔、出任西川节度使
葬贞献皇后于光陵之侧	安葬贞献皇后萧氏于穆宗光陵旁侧
突阙掠漕米及行商，振武节度使史宪忠击破之	突阙部族掠夺唐朝的漕米和行商，振武节度使史宪忠率军讨击，大破突阙
九月，丁卯，以金吾大将军郑光为平卢节度使	九月，丁卯，唐宣宗任命金吾大将军郑光为平卢节度使
光，润州人，太后之弟也	郑光是润州人，郑太后的弟弟
乙酉，前永宁尉吴汝纳，讼其弟湘罪不至死，李绅与李德裕相表里，欺罔武宗，枉杀臣弟，乞召江州司户崔元藻等对辨	乙酉，前永宁县尉吴汝纳，上表申诉其弟弟吴湘犯罪不至于处死，而李绅与李德裕内外相通，互为表里，欺瞒迷惑唐武宗，冤枉杀死我弟吴湘，乞求皇帝陛下召江州司户崔元藻等人来对质辨诬
丁亥，敕御史台鞫实以闻	丁亥，唐宣宗颁下敕书给御史台，令调查出真实情况向上汇报
冬，十二月，庚戌，御史台奏，据崔元藻所列吴湘冤状，如吴汝纳之言	冬季，十二月，庚戌，御史台上奏唐宣宗，据崔元藻所列举的吴湘冤枉情况，和吴汝纳申诉的差不多
戊午，贬太子少保、分司李德裕为潮州司马	戊午，唐宣宗下令贬太子太保、分司东都李德裕为潮州司马
吏部奏，会昌四年所减州县官内复增三百八十三员	吏部奏报唐宣宗：在会昌四年所减少的州、县官中，恢复三百八十三员官吏
	二年
正月，甲子，群臣上尊号曰圣敬文思和武光孝皇帝；赦天下	正月，甲子，群臣给唐宣宗上尊号，称为圣敬文思和武光孝皇帝；唐宣宗为此大赦天下
初，李德裕执政，有荐丁柔立清直可任谏官者，德裕不能用	起初，李德裕任宰相执朝政，有人推荐丁柔立为人清廉正直，可以担任谏官，李德裕不予任用
上即位，柔立为右补阙；德裕贬潮州，柔立上疏讼其冤	唐宣宗即皇帝位后，任丁柔立为右补阙；李德裕被贬至潮州，丁柔立向唐宣宗上疏为李德裕申冤
丙寅，坐阿附贬南阳尉	丙寅，朝廷以丁柔立阿附李德裕而将他贬为南阳县尉
西川节度使李回、桂管观察使郑亚坐前不能直吴湘冤，乙酉，回左迁湖南观察使，亚贬循州刺史，李绅追夺三任告身	西川节度使李回、桂管观察使郑亚因为以前不能辨白吴湘的冤情，乙酉，李回被降职调任湖南观察使，郑亚被贬为循州刺史，李绅虽死，也被追夺三任委任状
中书舍人崔嘏坐草李德裕制不尽言其罪，己丑，贬端州刺史	中书舍人崔嘏因为起草贬李德裕官的制书没有全部写上李德裕的罪状，已丑，也被贬为端州刺史
二月，庚子，以知制诰令狐为翰林学士	二月，庚子，唐宣宗任知制诰令狐为翰林学士
上尝以太宗所撰《金镜》授，使读之，至乱未尝不任不肖，至治未尝不任忠贤，上止之曰：凡求致太平，当以此言为首	唐宣宗曾经以唐太宗所撰写的《金镜》授与令狐，让他读给自己听，书中有在大乱之世也不应该委任不肖之徒为官，在大治之世也不应该不委忠贤之士掌政，唐宣宗听到这句时止住令狐，说：凡是要求致太平的，应当以这句话为首要信条
又书《贞观政要》于屏风，每正色拱手而读之	又将《贞观政要》书写于屏风之上，经常严肃地拱手细读其中的警句
上欲知百官名数，令狐曰：六品已下，官卑数多，皆吏部注拟；五品以上，则政府制授，各有籍，命曰具员	唐宣宗想知道朝廷百官的名字和数额，令狐说：六品以下的官，官位卑下而数目很多，都由尚书省吏部注拟授职；五品以上的官，则由中书门下政事党节制授理，他们各有名籍，叫做具员
上命宰相作《具员御览》五卷，上之，常置于案上	唐宣宗于是命令宰相撰写《具员御览》五卷，宰相撰修完后奏上，唐宣宗将其经常放置于桌上，以备查考
立皇子泽为濮王	唐宣宗立皇子李泽为濮王
上欲作五王院于大明宫，以处皇子之幼者，召术士柴岳明使相其地	唐宣宗想在大明宫内建造五王院，以让年龄幼小的皇子居处，召来术士柴岳明，让他来相风水
岳明对曰：臣庶之家，迁徒不常，故有自阳宅入阴宅，阴宅入阳宅	柴岳明回答说：一般臣民之家，常迁徒不定，所以有的从向阳的屋子迁入朝阴的屋子，有的从朝阴的屋子迁进向阳的屋子
刑克祸福，师有其说，今陛下深拱法宫，万神拥卫，阴阳书本不言帝王家	阴阳家所谓三刑祸福，五行相克，是有这种说法，但陛下您高筑起宏伟的路寝正殿，受到万神的拥戴守卫，而阴阳家的书是无法预测帝王之家的
上善其言，赐束帛遣之	唐宣宗对柴岳明的话表示赞同，赐给他束帛将他送走
夏，五月，己未朔，日有食之	夏季，五月，己未朔，出现日食
门下侍郎、同平章事崔元式罢为户部尚书；以兵部侍郎·判度支·户部周墀、刑部侍郎·盐铁转运使马植并同平章事	唐宣宗将门下侍郎、同平章事崔元式罢相，任为户部尚书；任命兵部侍郎、判度支、户部周墀和刑部侍郎，盐铁转运使马植一并为同平章事
已卯，太皇太后郭氏崩于兴庆宫	已卯，太皇太后郭氏于兴庆宫驾崩
秋，九月，甲子，再贬潮州司马李德裕为崖州司户，湖南观察使李回为贺州刺史	秋季，九月，甲子，唐宣宗再次将潮州司马李德裕贬为崖州司户，将湖南观察使李回贬为贺州刺史
壬午，葬懿安皇后于景陵之侧	壬午，将懿安皇后安葬于景陵旁侧
以中书侍郎、同平章事韦琮为太子宾客、分司	唐宣宗将中书侍郎、同平章事韦琮罢相，改任太子宾客、分司东都
上见宪宗朝公卿子孙，多擢用之	唐宣宗凡是看到宪宗朝公卿大臣的子孙，多半要提拔选用
刑部员外郎杜胜次对，上问其家世，对曰：臣父黄裳，首请宪宗监国	刑部员外郎杜胜上朝参加次对，唐宣宗问到他的家世，杜胜回答说：我父亲杜黄裳，首先提议请宪宗监国
即除给事中	唐宣宗立即任命杜胜为给事中
翰林学士裴谂，度之子也，上幸翰林，面除承旨	翰林学士裴谂，是裴度的儿子，唐宣宗来到翰林院，当面提升裴谂为翰林学士承旨
春，正月，上与宰相论元和循吏孰为第一，周墀曰：臣尝守土江西，闻观察使韦丹功德被于八州，没四十年，老稚歌思，如丹尚存	春季，正月，唐宣宗与宰相讨论唐宪宗元和年间地方上循职守法的官吏谁为第一，周墀说：我曾经在江西做官，听说江西观察使韦丹的功德被江西道所辖洪、江、鄂、岳、虔、吉、袁、抚八州人民传诵，在他死后四十年，江西无论是老人还是小孩，仍然歌唱思念他，就象韦丹还活着一样
乙亥，诏史馆修撰杜牧撰《丹遗爱碑》以纪之，仍擢其子河阳观察判官宙为御史	乙亥，唐宣宗下诏命令史馆修撰杜牧撰写《丹遣爱碑》以资纪念，并且拔擢韦丹的儿子河阳观察判官韦宙为御史
二月，吐蕃论恐热军于河州，尚婢婢军于河源军	二月，吐蕃酋领论恐热屯军于河州，尚婢婢屯军于唐鄯州以东的河源军
婢婢诸将欲击恐热，婢婢曰：不可	尚婢婢部下诸将企图攻击论恐热，尚婢婢说：不可轻易出战
我军骤胜而轻敌，彼穷困而至死，战必不利	我军骤然间获得胜利而产生了轻敌情绪，敌军因战败穷困无路，只有拼死战斗才能求生，所以现在接战对我军必然不利
诸将不从	诸将领不信，不肯听从
婢婢知其必败，据河桥以待之，诸将果败	尚婢婢知道部将出战必然失败，于是占据河桥以等待败军的归来，果然诸将进击遭受败绩
婢婢收余众，焚桥，归鄯州	尚婢婢于是收集余众，焚烧河桥，率军退归鄯州
河东节度使王宰入朝，以货结权幸，求以使相领宣武；刑部尚书、同平章事周墀上疏论之，宰遂还镇	河东节度使王宰入朝，用财货交结当权的幸臣，求他们游说唐宣宗让自己能以使相的身份领宣武节度使；刑部尚书、同平章事周墀向唐宣宗上疏评论此事，王宰于是回到河东镇
驸马都尉韦让求为京兆尹；墀言京兆尹非才望不可为，让议竟寝	附马都尉韦让请求任京兆尹；周墀声言京兆尹没有才能和声望的人不可以担当，韦让的请求最后没有实现
墀又谏上开边，由是忤旨	周墀又谏阻唐宣宗开拓边境，经略河西，因而触犯了唐宣宗的旨意
夏，四月，以墀为东川节度使	夏季，四月，唐宣宗任周墀为东川节度使
以御史大夫崔铉为中书侍郎、同平章事，兵部侍郎、判户部魏扶同平章事	提拔御史大夫崔铉为中书侍郎、同平章事；又任命兵部侍郎、判户部魏扶为同平章事
癸巳，卢龙奏节度使张仲武薨，军中立其子节度押牙直方	癸已，卢龙镇上奏节度使张仲武去世，军中立张仲武的儿子节度押牙张直方继掌卢龙军政
翰林学士郑颢言于上曰：周墀以直言入相，亦以直言罢相	翰林学士郑颢向唐宣宗上言：周墀因为敢于直言而升任宰相，也因为敢于直言而罢除相职
上深感悟，甲午，墀入谢，加检校右仆射	唐宣宗听后深为感动而觉悟，甲午，周墀入朝谢恩，唐宣宗给他加检校右仆射的衔名
戊戌，以张直方为卢龙留后	戊戌，唐宣宗任命张直方为卢龙留后
五月，徐州军乱，逐节度使李廓	五月，徐州发生军乱，驱逐节度使李廓
廓，程之子也，在镇不治，右补阙郑鲁上言其状，且曰：臣恐新麦未登，徐师必乱；速命良帅，救此一方	李廓是李程的儿子，在镇不修政治，右补阙郑鲁曾向唐宣宗告发其情状，并且说：我恐怕还等不到新麦丰收，徐州的军队就已发生变乱；请陛下赶快派一位优秀的统帅，去解救这一方大难
上未之省	唐宣宗并未省悟
徐州果乱，上思鲁言，擢为起居舍人	而徐州果然发生军乱，唐宣宗回想起郑鲁的上言，于是提擢郑鲁为起居舍人
六月，戊申，以张直方为卢龙节度使	六月，戊申，唐宣宗任命张直方为卢龙节度使
泾原节度使康季荣取原州及石门、驿藏、木峡、制胜、六磐、石峡六关	唐泾原节度使康季荣从吐蕃手中夺得原州，以及石门、驿藏、木峡、制胜、六磐、石峡六座关隘
秋，七月，丁巳，灵武节度使朱叔明取长乐州	秋季，七月，丁巳，唐灵武节度使朱叔明从吐蕃手中攻取得长乐州
甲子，宁节度使张君绪取萧关	甲子，唐宁节度使张君绪又从吐蕃手中夺回萧关县
甲戌，凤翔节度使李取秦州	甲戌，唐凤翔节度使李从吐蕃手中攻取秦州
诏宁节度权移军于宁州以应接河西	唐宣宗颂下诏书令宁节度使暂将军队移驻于宁州，以便应接河西地区
冬，十月，改备边库为延资库	冬季，十月，唐朝廷将备边库改为延资库
西川节度使杜奏取维州	西川节度使杜上奏朝廷，宣告已从吐蕃手中夺取维州
卢龙节度使张直方，暴忍，喜游猎	卢龙节度使张直方残暴凶狠，喜欢游猎
军中将作乱，直方知之，托言出猎，遂举族逃归京师；军中推牙将周为留后	军中将要发生变乱，张直方知道情况不妙，假说外出行猎，带着全族逃归京师长安；卢龙军中推牙将周为留后
直方至京师，拜金吾大将军	张直方来到京师，被任为金吾大将军
甲戌，追上顺宗谥曰至德弘道大圣大安孝皇帝；宪宗谥曰昭文章武大圣至神孝皇帝	甲戌，唐宣宗君臣给唐顺宗追上谥号为至德弘道大圣大安孝皇帝；给唐宪宗追上谥号为昭文章武大圣至神孝皇帝
