戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
己巳，登泰山，封玉牒，上帝册藏以玉匮，配帝册藏以金匮，皆缠以金绳，封以金泥，印以玉玺，藏以石	己巳，登上泰山，亲自缄封玉册，上帝的玉册放在玉匮里，配帝的玉册放在金匮里，都缠上金绳子，封上金泥，加盖玉玺，藏入封禅专用的石匣中
庚午，降禅于社首，祭皇地祗	庚午，在泰山下面的社首山祭祀皇地祗
上初献毕，执事者皆趋下	唐高宗第一个献祭品完了，执事人都退下
宦者执帷，皇后升坛亚献，帷皆以锦绣为之；酌酒，实俎豆，登歌，皆用宫人	太监用手张起帷幔，皇后登坛第二个献祭品，帷幔和帐幕都用锦锈做成；斟酒、往俎豆中放祭品、登坛唱歌都用宫女
壬申，上御朝觐坛，受朝贺；赦天下，改元	壬申，唐高宗登上朝觐坛，接受朝贺；大赦天下罪人，更改年号
文武官三品已上赐爵一等，四品已下加一阶	文武官员三品以上的赐爵一等，四品以下加一阶
先是阶无泛加，皆以劳考叙进，至五品三品，仍奏取进止，至是始有泛阶；比及末年，服绯者满朝矣	以前没有普遍加封官阶的先例，都是依据劳绩的考核依次进升，到了五品、三品官，还要奏请皇帝决定，到这时才开始有普遍加阶的事；到了高宗末年，穿红色衣服的官员已满朝都是了
庚戌，左侍极兼检校右相陆敦信以老疾辞职，拜大司成，兼左侍极，罢政事	庚戌，唐朝左侍极兼检校右相陆敦信因年老有病请求辞职，任命他为大司成，兼左侍极，免去检校右相职务
五月，庚寅，铸乾封泉宝钱，一当十，俟期年尽废旧钱	五月，庚寅，唐朝铸造乾封泉宝新钱，以一当十，等一周年后全部废止旧钱
秋，七月，乙丑朔，徙殷王旭轮为豫王	秋季，七月，乙丑朔，唐朝改封殷王李旭轮为豫王
八月，辛丑，司元太常伯兼检校左相窦德玄薨	八月，辛丑，司元太常伯兼检校左相窦德玄去世
初，武士娶相里氏，生男元庆、元爽；又娶杨氏，生三女，长适越王府法曹贺兰越石，次皇后，次适郭孝慎	当初，武士娶相里氏，生儿子武元庆、武元爽；又娶杨氏，生三个女儿，长女嫁给越王府法曹贺兰越石，二女儿即皇后武则天，三女儿嫁给郭孝慎
士卒，元庆、元爽及士兄子惟良、怀运皆不礼于杨氏，杨氏深衔之	武士死后，武元庆、武元爽及武士哥哥的儿子武惟良、武怀运等都不依礼对待杨氏，杨氏对他们怀恨在心
越石、孝慎及孝慎妻并早卒，越石妻生敏之及一女而寡	贺兰越石、郭孝慎及他的妻子都早死，贺兰越石妻生儿子贺兰敏之和一个女儿后守寡
后既立，杨氏号荣国夫人，越石妻号韩国夫人，惟良自始州长史超迁司卫少卿，怀运自瀛州长史迁淄州刺史，元庆自右卫郎将为宗正少卿，元爽自安州户曹累迁少府少监	武则天立为皇后，杨氏封为荣国夫人，贺兰越石妻封为韩国夫人，武惟良由始州长史越级提升为司卫少卿，武怀运由瀛州长史提升为淄州刺史，武元庆由右卫郎将任宗正少卿，武元爽由安州卢曹连续提升到少府少监
荣国夫人尝置酒，谓惟良等曰：颇忆畴昔之事乎	荣国夫人杨氏曾设酒席，对武惟良等说：还记得从前的事情吗
今日之荣贵复何如	今日的荣耀贵显又如何
对曰：惟良等幸以功臣子弟，早登宦籍，揣分量才，不求贵达，岂意以皇后之故，曲荷朝恩，夙夜忧惧，不为荣也	回答说：我等因是功臣子弟，有幸很早地进入官吏行列，揣度名分衡量才能，不求富贵显达，没有想到因皇后的关系，得到朝廷的非分恩宠，日夜忧虑畏惧，不觉得荣耀
荣国不悦	荣国夫人听后很不高兴
皇后乃上疏，请出惟良等为远州刺史，外示谦抑，实恶之也	皇后武则天于是给唐高宗上书，请求让武惟良等出任边远州的刺史，表面上是谦虚抑制自己的亲属，实际上是憎恶他们
于是以惟良检校始州刺史，元庆为龙州刺史，元爽为濠州刺史	结果任命武惟良为检校始州刺史，武元庆为龙州刺史，武元爽为濠州刺史
元庆至州，以忧卒	武元庆到龙州后，因忧虑得病而死
元爽坐事流振州而死	武元爽因事定罪流放振州而死
九月，庞同善大破高丽兵，泉男生帅众与同善合	九月，庞同善大败高丽兵，泉男生率领部众与庞同善会合
诏以男生为特进、辽东大都督，兼平壤道安抚大使，封玄菟郡公	唐高宗下诏，任命泉男生为特进、辽东大都督，兼平壤道安抚大使，封玄菟郡公
戊子，金紫光禄大夫致仕广平宣公刘祥道薨，子齐贤嗣	戊子，以金紫光禄大夫退休的广平宣公刘祥道去世，儿子刘齐贤继承爵位
齐贤为人方正，上甚重之，为晋州司马	刘齐贤为人正直，唐高宗很器重他，任为晋州司马
将军史兴宗尝从上猎苑中，因言晋州产佳鹞，刘齐贤今为司马，请使捕之	将军史兴宗曾随从唐高宗在苑中打猎，于是说到晋州出产好鹞，刘齐贤现任该州司马，请命令他捕鹞
上曰：刘齐贤岂捕鹞者邪	唐高宗说：刘齐贤难道是捕鹞的人吗
卿何以此待之	你为何这样看待他
冬，十二月，己酉，以李为辽东道行军大总管，以司列少常伯安陆郝处俊副之，以击高丽	冬季，十二月，己丑，唐朝任命李世为辽东道行军大总管，司列少常伯安陆人赦处俊为副大总管，以进攻高丽
庞同善、契何力并为辽东道行军副大总管兼安抚大使如故；其水陆诸军总管并运粮使窦义积、独孤卿云、郭待封等，并受处分	庞同善、契何力同为辽东道行军逼大总管并仍兼安抚大使；水陆诸军总管和运粮使窦义积、独孤卿云、郭待封等，都受李世指挥
河北诸州租赋悉诣辽东给军用	河北各州县租赋全部送辽东供军用
待封，孝恪之子也	郭待封是郭孝恪的儿子
春，正月，上耕藉田，有司进耒，加以雕饰	春季，正月，唐高宗举行亲耕藉田礼，有关部门送来的耒，上面加以雕刻装饰
上曰：耒农夫所执，岂宜如此之丽	唐高宗说：耒是农夫所使用的，哪能这样华丽
命易之	命令更换
既而耕之，九推乃止	不久耕地，推进九个来回便停止
自行乾封泉宝钱，谷帛踊贵，商贾不行；癸未，诏罢之	唐朝自从发行乾封泉宝钱，谷帛的价格飞涨，商贾无法进行交易；癸未，唐高宗下令废止使用
二月，丁酉，涪陵悼王薨	二月，丁酉，涪陵悼王李去世
辛丑，复以万年宫为九成宫	辛丑，唐朝把万年宫改回原名九成宫
生羌十二州为吐蕃所破，三月，戊寅，悉罢之	生羌十二州被吐蕃攻破，三月，戊寅，唐朝全部取消这些州的建制
上屡责侍臣不进贤，众莫敢对	唐高宗多次责备身边大臣不推荐德才兼备的人，谁也不敢答话
司列少常伯李安期对曰：天下未尝无贤，亦非群臣敢蔽贤也	司列少常伯李安期回答说：天下不是没有贤人，也不是群臣敢于埋没贤人
比来公卿有所荐引，为谗者已指为朋党，滞淹者未获伸而在位者先获罪，是以各务杜口耳	近来公卿若有所推荐，好进恶言的人已指责为结党营私，失意的贤者尚未得到进用，在位的人先已获罪，于是各人赶忙闭口
陛下果推至诚以待之，其谁不愿举所知	陛下果真能诚心诚意对待臣下，有谁不愿意推举所知道的贤人
此在陛下，非在群臣也	这个问题关键在陛下，不在于群臣
上深以为然	唐高宗很同意他的看法
安期，百药之子也	李安期是李百药的儿子
夏，四月，乙卯，西台侍郎杨弘武、戴至德、正谏大夫兼东台侍郎李安期、东台舍人昌乐张文、司列少常伯兼正谏大夫河北赵仁本并同东西台三品	夏季，四月，乙卯，西台侍郎杨弘武和戴至德、正谏大夫兼东台侍郎李安期、东台舍人昌乐人张文、司列少常伯兼正谏大夫河北人赵仁本都任同东西台三品
弘武，素之弟子；至德，胄之兄子也	杨弘武是杨素弟弟的儿子；戴至德是戴胄哥哥的儿子
时造蓬莱、上阳、合璧等宫，频征伐四夷，厩马万匹，仓库渐虚，张文谏曰：隋鉴不远，愿勿使百姓生怨	当时唐朝因营造蓬莱、上阳、合譬等宫，频繁讨伐四夷，厩中养马万匹，仓库逐渐空虚，张文进谏说：隋朝的鉴戒并不遥远，但愿不要让百姓产生怨恨
上纳其言，减厩马数千匹	唐高宗接受他的意见，减少厩中马数千匹
秋，八月，乙丑朔，日有食之	秋季，八月，己丑朔，出现日食
辛亥，东台侍郎同东西台三品李安期出为荆州长史	辛亥，东台侍郎、同东西台三品李安期出任荆州长史
九月，庚申，上以久疾，命太子弘监国	九月，庚申，唐高宗因长期患病，命令太子李弘监理国事
冬，十二月，甲午，诏：自今祀昊天上帝、五帝、皇地祗、神州地祗，并以高祖、太宗配，仍合祀昊天上帝、五帝于明堂	冬季，十二月，甲午，唐高宗下诏令：从今以后，祭祀昊天上帝、五方帝、皇地祗、神州地祗，并以高祖、太宗配享，仍合祀昊天上帝、五方帝于明堂
是岁，海南獠陷琼州	本年，海南獠人攻陷琼州
春，正月，壬子，以右相刘仁轨为辽东道副大总管	春季，正月，壬子，唐朝任命右相刘仁轨为辽东道副大总管
二月，壬午，李等拔高丽扶馀城	二月，壬午，李世等攻下高丽扶馀城
薛仁贵既破高丽于金山，乘胜将三千人将攻扶馀城，诸将以其兵少，止之	薛仁贵在金山打败高丽兵后，率领三千人准备乘胜进攻扶馀城，诸将认为他兵少，阻止他
仁贵曰：兵不在多，顾用之何如耳	薛仁贵说：兵不在多，看你如何使用罢了
遂为前锋以进，与高丽战，大破之，杀获万余人，遂拔扶馀城	于是作为前锋部队前进，与高丽兵交战，获得大胜利，杀死和俘虏万余人，于是攻下扶馀城
扶馀川中四十余城皆望风请服	扶馀川中的四十余城都望风请求投降
戊寅，上幸九成宫	戊寅，唐高宗来到九成宫
夏，四月，丙辰，彗星见于五车	夏季，四月，丙辰，彗星出现于五车星座
上避正殿，减常膳，撤乐	唐高宗回避正殿，减少日常膳食，撤除音乐歌舞
许敬宗等奏请复常，曰：彗见东北，高丽将灭之兆也	许敬宗等人上奏请求恢复平常的状况，说：彗星出现大东北，是高丽将灭亡的预兆
上曰：朕之不德，谪见于天，岂可归咎小夷	唐高宗说：这是上天谴责朕不施恩德，怎么可以把过失推给小国
且高丽百姓，亦朕之百姓也	而且高丽的百姓，也是朕的百姓
不许	他不同意许敬宗等的奏请
戊辰，彗星灭	戊辰，彗星消失
辛巳，西台侍郎、同东西台三品杨弘武薨	辛巳，西台侍郎、同东西台三品杨弘武去世
八月，辛酉，卑列道行军总管、右威卫将军刘仁愿坐征高丽逗留，流姚州	八月，辛酉，卑列道行军总管、右威卫将军刘仁愿因征高丽逗留不进而获罪，流放姚州
癸酉，车驾还京师	癸酉，唐高宗回京师长安
冬，十月，戊午，以乌荼国婆罗门卢迦逸多为怀化大将军	冬季，十月，戊午，唐朝任命乌荼国婆罗门卢迦逸多为怀化大将军
逸多自言能合不死药，上将饵之	卢迦逸多声称能配制长生不老药，唐高宗准备服用
东台侍郎郝处俊谏曰：修短有命，非药可延	东台侍郎郝处俊进谏说：人的寿命长短，命中注定，不是药能延长的
贞观之末，先帝服那罗迩娑婆寐药，竟无效；大渐之际，名医不知所为，议者归罪娑婆寐，将加显戮，恐取笑戎狄而止	贞观末年，先帝服那罗迩娑婆寐配的药，终于没有效果；病危的时候，名医也束手无策，朝中议事的人，把罪责归于那罗迩娑婆寐，准备公开将他处死，因恐怕戎狄取笑而没有这样做
前鉴不远，愿陛下深察	前头的鉴戒不远，希望陛下深入省察
上乃止	唐高宗便决定不服这种药
李将至，上命先以高藏等献于昭陵，具军容，奏凯歌，入京师，献于太庙	李世将回到长安，唐高宗命令他先将高藏等献到昭陵，然后整齐军队仪容，奏着凯歌，进入京师长安，到太庙献俘
十二月，丁巳，上受俘于含元殿	十二月，丁巳，唐高宗在含元殿接受献俘
以高藏政非己出，赦以为司平太常伯、员外同正	因高藏并不掌握国家实权，唐高宗赦免了他的罪行，并任命他为司平太常伯员外同正
以泉男产为司宰少卿，僧信诚为银青光禄大夫，泉男生为右卫大将军	任命泉男产为司宰少卿，僧信诚为银青光禄大夫，泉男生为右卫大将军
