春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
加王敦江州牧，王导骠骑大将军、开府仪同三司	元帝加任王敦为江州牧，王导为骠骑大将军、开府仪同三司
成丞相范长生卒；成主雄以长生子侍中贲为丞相	成汉丞相范长生故去，成汉主李雄任命其子侍中范贲为丞相
长生博学，多艺能，年近百岁，蜀人奉之如神	范长生博学多能，享年近百岁，蜀地人民尊奉他有如神灵
汉中常侍王沈养女有美色，汉主聪立以为左皇后	汉国中常侍王沈的养女容颜美丽，汉主刘聪立她为左皇后
尚书令王鉴、中书监崔懿之、中书令曹恂谏曰：臣闻王者立后，比德乾坤，生承宗庙，没配后土，必择世德名宗，幽闲令淑，乃副四海之望，称神祗之心	尚书令王鉴、中书监崔懿之、中书令曹恂进谏说：臣听说帝王册立王后，效法乾坤相配之理，在世时承嗣宗庙祭祀，去世后配祀土神，必须选择道德传家、名门显族的女子，本人也应幽闲贤淑，才能与四海之民的期望相称，使神祗满意
孝成帝以赵飞燕为后，使继嗣绝灭，社稷为墟，此前鉴也	汉成帝立赵飞燕为皇后，结果使子嗣灭绝，社稷毁为废墟，这是前代的教训
自麟嘉以来，中宫之位，不以德举	本期从麟嘉年间开始，选立皇后不以道德为准绳
借使沈之弟女，刑余小丑，犹不可以尘污椒房，况其有婢邪	即便是王沈的妹妹或亲女儿，也不过如同阉宦丑类，尚且不能让她们沾污后妃之位，更何况王沈的婢女呢
六宫妃嫔，皆公子公孙，奈何一旦以婢主之	君王六宫的嫔妃，都是王公贵胄的子孙，怎能轻率地让婢女做她们的主人
臣恐非国家之福也	臣恐怕这不是国家的福兆
聪大怒，使中常侍宣怀谓太子粲曰：鉴等小子，狂言侮慢，无复君臣上下之礼，其速考实	刘聪大为生气，让中常侍宣怀对太子刘粲说：王鉴这帮小子，口出狂言，侮慢尊上，不再有君臣上下的礼节，望从速定罪
于是收鉴等送市，皆斩之	于是收捕王鉴等人送往刑场斩首
金紫光禄大夫王延驰，将入谏，门者弗通	金紫光禄大夫王延骑马赶来，要进宫规谏，守门者不给通报
戊戌，封皇子为武陵王	戊戌，元帝封皇子司马为武陵王
十一月，乙卯，日夜出，高三丈	十一月，乙卯，夜间出现太阳，高三丈
彭城内史周抚杀沛国内史周默，以其众降石勒	彭城内史周抚杀沛国内史周默，率其部众投降石勒
诏下邳内史刘遐领彭城内史，与徐州刺史蔡豹、泰山太守徐龛共讨之	晋元帝下诏令下邳内史刘遐兼任彭城内史职，和徐州刺史蔡豹、泰山太守徐龛共同讨伐他
豹，质之玄孙也	蔡豹是蔡质的玄孙
春，二月，刘遐，徐龛击周抚于寒山，破斩之	春季，二月，刘遐、徐龛在寒山攻击周抚，攻破并杀死周抚
初，掖人苏峻帅乡里数千家结垒以自保，远近多附之	当初，掖县人苏峻率领乡里数千家民众营造壁垒自保，远近民众大多附从
曹嶷恶其强，将攻之，峻率众浮海来奔	曹嶷恨苏峻势力强大，准备攻击他，苏峻率部众渡海投奔东晋
帝以峻为鹰扬将军，助刘遐讨周抚有功；诏以遐为临淮太守，峻为淮陵内史	元帝任苏峻为鹰扬将军，因为帮助刘遐讨伐周抚有功，下诏任刘遐为临淮太守，苏浚为淮陵内史
石勒遣左长史王献捷于汉，汉主曜遣兼司徒郭汜授勒太宰、领大将军，进爵赵王，加殊礼，出警入跸，如曹公辅汉故事；拜王及其副刘茂皆为将军，封列侯	石勒派左长史王向汉主献俘告捷，汉主刘曜派兼司徒郭汜授石勒为太宰、领大将军，晋升爵位为赵王，给予特殊礼遇，出入宫禁，如同曹操辅佐汉室的旧制
舍人曹平乐从至粟邑，因留仕汉，言于曜曰：大司马遣等来，外表至诚，内觇大驾强弱，俟其复命，将袭乘舆	拜王和他的副将刘茂为将军，封为列侯
时汉兵实疲弊，曜信之	王的舍人曹平乐随从王到粟邑，顺势留在汉国做官，他对刘曜说：大司马石勒派王等人前来，外表至为忠诚，实则是窥察您的强弱，等他回去报告后，将要袭击您
乃追汜还，斩于市	当时汉军的确疲敝，刘曜相信了曹平乐所言，于是命人追回郭汜，在街市上杀了王
三月，勒还至襄国	三月，石勒回到襄国
刘茂逃归，言死状	刘茂逃回，告知王死的情况，石勒大怒，说：孤侍奉刘氏，已经超过了臣下该尽的本职
勒大怒曰：孤事刘氏，于人臣之职有加矣	刘氏的基业，都是我所创下的
彼之基业，皆孤所为，今既得志，还欲相图	现在他志得意满，却反过来想算计我
赵王、赵帝，孤自为之，何待于彼邪	赵王、赵帝，孤自己就能做，哪里还要等他呢
乃诛曹平乐三族	于是诛杀曹平乐三族
周抚之败走也，徐龛部将于药追斩之；及朝廷论功，而刘遐先之	周抚败逃时，是徐龛的部将于药追上并杀了周抚，等到朝廷论功时，却是刘遐占先
龛怒，以泰山叛，降石勒，自称兖州刺史	徐龛生气，占据泰山背叛，投降石勒，自称兖州刺史
南阳王保自称晋王，改元建康，置百官，以张为征西大将军、开府仪同三司	南阳王司马保自称晋王，改年号为建康，设置百官，任张为征西大将军，开府仪同三司
陈安自称秦州刺史，降于汉，又降于成	陈安自称秦州刺史，投降汉，后又投降成汉
上大饥，士众困迫，张春奉保之南安祁山	上发生严重饥荒，士民困迫，张春侍奉司马保去南安的祁山
遣韩璞帅步骑五千救之；陈安退保绵诸，保归上	张派遣韩璞率领步、骑兵五千救援司马保，陈安退守绵诸，司马保回到上
未几，保复为安所逼，遣其将宋毅救之，安乃退	不久，司马保又被陈安进逼，张派部将宋毅救援，陈安才退军
江东大饥，诏百官各上封事	江南发生严重饥荒，元帝下诏让百官各自上书奏事
益州刺史应詹上疏曰：元康以来，贱《经》尚道，以玄虚弘放为夷达，以儒术清俭为鄙俗，宜崇奖儒官，以新俗化	益州刺史应詹上疏说：自元康年间以来，轻视经典，崇尚道学，把玄虚弘放视作平达，把儒术、清俭看作鄙俗，应当尊崇和奖掖儒官，来革新风俗教化
祖逖攻陈川于蓬关，石勒遣石虎将兵五万救之，战于浚仪，逖兵败，退屯梁国	祖逖在蓬关进攻陈川，石勒派石虎率兵五万救援，两军在浚仪交战，祖逖兵败，退军驻屯梁国
勒又遣桃豹将兵至蓬关，逖退屯淮南	石勒又派桃豹率兵到达蓬关，祖逖退守淮南
虎徙川部众五千户于襄国，留豹守川故城	石虎将陈川部众五千户迁徙到襄国，留下石豹守卫陈川故城
石勒遣石虎击鲜卑日六延于朔方，大破之，斩首二万级，俘虏三万余人	石勒派遣石虎在朔方重创鲜卑族日六延，斩首二万，俘虏三万多人
孔苌攻幽州诸郡，悉取之	孔苌攻取了幽州诸郡
段匹士众饥散，欲移保上谷，代王郁律勒兵将击之，匹弃妻子奔乐陵，依邵续	段匹的士众因饥饿离散，段匹想移军保守上谷，代王郁律领兵准备攻击他，段匹丢弃妻子儿女逃奔乐陵，依附邵续
曹嶷遣使赂石勒，请以河为境，勒许之	曹嶷派使者给石勒送去财物，请求以黄河作为分界，石勒答应了
徐龛寇掠济、岱，破东莞	徐龛寇掠济水、泰山之间，攻破东莞
帝问将帅可以讨龛者于王导，导以为太子左卫率泰山羊鉴，龛之州里冠族，必能制之	元帝向王导询问将帅中有谁能够征讨徐龛，王导认为太子左卫率泰山人羊鉴，是徐龛州里的显贵豪族，必能制服徐龛
鉴深辞，才非将帅；郗鉴亦表鉴非才，不可使；导不从	羊鉴恳切地推辞，认为自己不是将帅之才；郗鉴也上表认为羊鉴不是合适的人选，不能委派，王导不听
秋，八月，以羊鉴为征虏将军、征讨都督，督徐州刺史蔡豹、临淮太守刘遐、鲜卑段文鸯等讨之	秋季，八月，任羊鉴为征虏将军、征讨都督，总领徐州刺史蔡豹、临淮太守刘遐、鲜卑部段文鸯等讨伐徐龛
冬，石勒左、右长史张敬、张宾，左、右司马张屈六、程遐等劝勒称尊号，勒不许	冬季，石勒的左、右长史张敬、张宾，左、右司马张屈六、程遐等劝石勒称皇帝尊号，石勒不同意
十一月，将佐等复请勒称大将军、大单于、领冀州牧、赵王，依汉昭烈在蜀、魏武在邺故事，以河内等二十四郡为赵国，太守皆为内史，准禹贡，复冀州之境，以大单于镇抚百蛮，罢并、朔、司三州，通置部司以监之；勒许之	十一月，将佐们又请求石勒称大将军、大单于、领冀州牧、赵王，依照蜀汉昭烈帝刘备在蜀、魏武帝曹操在邺的旧例，以河内等二十四郡为赵国，太守都改为内史，根据《尚书·禹贡》，恢复冀州的行政区划，以大单于的身份镇抚众蛮族；撤销并州、朔州、司州的建置，合置部司监管，石勒同意了
戊寅，即赵王位，大赦；依春秋时列国称元年	戊寅，石勒即后赵王位，大赦天下，依照春秋时列国旧例称元年
十二月，乙亥，大赦	十二月，乙亥，东晋大赦天下
是岁，蒲洪降赵，赵主曜以洪为率义侯	这年，蒲洪投降前赵，前赵主刘曜封蒲洪为率义侯
春，正月，曜攻陈仓，王连战死，杨曼奔南氐	春季，正月，刘曜进攻陈仓，王连战死，杨曼逃奔南氐
曜进拔草壁，路松多奔陇城；又拔阴密	刘曜进而攻取草壁，路松多逃往陇城
晋王保惧，迁于桑城	刘曜又攻取阴密，晋王司马保恐惧，迂都于桑城
曜还长安，以刘雅为大司徒	刘曜回到长安，任刘雅为大司徒
赵将尹安、宋始、宋恕、赵慎四军屯洛阳，叛，降后赵	前赵将军尹安、宋始、宋恕、赵慎的四支军队驻屯洛阳，叛国投降后赵
后赵将石生引兵赴之；安等复叛，降司州刺史李矩	后赵将领石生率军前往洛阳，尹安等人又背叛后赵，向晋的司州刺史李矩投降
矩使颍川太守郭默将兵入洛	李矩让颍川太守郭默带兵进入洛阳
石生虏宋始一军，北渡河	石生俘获宋始这支军队，向北渡过黄河
于是河南之民皆相帅归矩，洛阳遂空	于是黄河以南的民众都相互牵引归附李矩，洛阳城为之一空
闰月，以周为尚书左仆射	闰月，晋任周为尚书左仆射
羊鉴讨徐龛，顿兵下邳，不敢前	羊鉴征讨徐龛，在下邳停兵，不敢前进
蔡豹败龛于檀丘，龛求救于后赵	蔡豹在檀丘击败徐龛，徐龛向后赵求救
后赵王勒遣其将王伏都救之，又使张敬将兵为之后继	后赵王石勒派部将王伏都救援，又让张敬率军作为后援
勒多所邀求，而伏都淫暴，龛患之	石勒向徐龛多有索求，而王伏都又淫荡残暴，徐龛为之忧患
张敬至东平，龛疑其袭己，乃斩伏都等三百余人，复来请降	张敬部到达东平，徐龛怀疑他是来袭击自己，于是将王伏都等三百多人斩首，又向东晋请降
勒大怒，命张敬据险以守之	石勒勃然大怒，命令张敬占据险要地形固守
帝亦恶龛反覆，不受其降，敕鉴、豹以时进讨	元帝也憎恶徐龛反覆无常，不接受他的请降，敕令羊鉴、蔡豹按原计划进发征讨
鉴犹疑惮不进，尚书令刁协劾奏鉴，免死除名，以蔡豹代领其兵	羊鉴仍然疑虑、忌惮，停止不前，尚书令刁协上疏弹劾羊鉴，敕令免除职务，饶其不死，让蔡豹代为指挥军队
王导以所举失人，乞自贬，帝不许	王导因为自己荐举的人选不当，自请贬职，元帝不同意
六月，后赵孔苌攻段匹，恃胜而不设备，段文鸯袭击，大破之	六月，后赵孔苌进攻段匹，恃仗取得的胜利便不再防备，段文鸯趁势攻击，孔苌大败
丙辰，赵将解虎及长水校尉尹车谋反，与巴酋句徐、厍彭等相结；事觉，虎、车皆伏诛	丙辰，前赵将领解虎和长水校尉尹车谋反，与巴族酋长句徐、厍彭等人相勾结，事发后，解虎、尹车都被处决
赵主曜囚徐、彭等五十余人于阿房，将杀之；光禄大夫游子远谏曰：圣王用刑，惟诛元恶而已，不宜多杀	前赵主刘曜将句徐、厍彭等五十多人囚禁在阿房，准备统统杀掉
争之，叩头流血	光禄大夫游子远进谏说：圣贤的君主施用刑罚，只不过诛杀元凶而已，不宜滥杀
曜怒，以为助逆而囚之；尽杀徐、彭等，尸诸市十日，乃投于水	为此直言诤谏，以至叩头流血
于是巴众尽反，推巴酋句渠知为主，自称大秦，改元曰平赵	刘曜发怒，认为这是帮助叛逆因而把游子远囚禁起来，尽杀句徐、厍彭等五十多人，暴尸于街市达十天，然后将尸首投弃水中
四山氐、羌、巴、羯应之者三十余万，关中大乱，城门昼闭	于是巴族民众都起来造反，推举巴族酋长句渠知为首，自称大秦，改年号为平赵
子远又从狱中上表谏争，曜手毁其表曰：大荔奴，不忧命在须臾，犹敢如此，嫌死晚邪	四山的氐族、羌族、巴族、羯族人有三十多万群起响应，关中因此大乱，城门白天也关闭
