春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
仇池镇将穆亮以弥机事魏素厚，矜其灭亡；弥博凶悖，所部恶之；弥承为众所附，表请纳之	仇池镇将穆亮认为梁弥机侍奉北魏朝廷一向尽心谨慎，对宕昌国的灭亡非常同情
诏许之	可是，梁弥博性情凶狠，残暴悖逆，将士对他都很痛恨，而梁弥承却受到大家的拥护，穆亮应奏请朝廷，允许护送梁弥承回国，朝廷下诏批准
亮帅骑三万军于龙鹄，击走吐谷浑，立弥承而还	于是，穆亮就率领三万名骑兵驻扎在龙鹄，击退了吐谷浑，拥立梁弥承登上王位
亮，崇之曾孙也	穆亮是穆崇的曾孙
辛酉，魏魏郡王陈建卒	辛酉，北魏魏郡王陈建去世
十二月，乙卯，魏以侍中淮南王佗为司徒	十二月，乙卯，北魏任命侍中、淮南王拓跋佗为司徒
是岁，柔然部真可汗卒，子豆仑立，号伏名敦可汗，改元太平	这一年，柔然汗国可汗郁久闾予成去世，他的儿子郁久闾豆仑继位，号为伏名敦可汗，改年号为太平
春，正月，癸亥朔，魏高祖朝会，始服衮冕	春季，正月，癸亥朔，北魏孝文帝召集百官朝见时开始穿戴汉族皇帝的礼服和冕旒
壬午，柔然寇魏边	壬午，柔然汗国进犯北魏边塞
闰月，癸巳，立皇子子贞为邵陵王，皇孙昭文为临汝公	闰正月，癸巳，武帝立皇子萧子贞为郡陵王，立皇孙萧昭文为临汝公
辛亥，帝耕籍田	辛亥，南齐武帝亲自耕种籍田
二月，己未，立皇弟为晋熙王，铉为河东王	二月，己未，武帝立皇弟萧为晋熙王，萧铉为河东王
六月，辛酉，魏主如方山	六月，辛酉，孝文帝前往方山
秋，七月，戊戌，魏主如方山	秋季，七月，戊戌，孝文帝再次前往方山
八月，乙亥，魏给尚书五等爵已上朱衣，玉佩，大小组绶	八月，乙亥，北魏给尚书和五等爵以上的官员发放朱色官服、佩玉和佩带玉饰的丝带
九月，辛卯，魏作明堂、辟雍	九月，辛卯，北魏兴建明堂、辟雍
冬，十一月，魏议定民官依户给俸	冬季，十一月，北魏议定地方官按照他所辖户口发放俸禄
十二月，柔然寇魏边	十二月，柔然汗国进犯北魏边境
是岁，魏改中书学曰国子学	这一年，北魏将中书学改称为国子学
分置州郡，凡三十八州，二十五在河南，十三在河北	重新划分设置州郡，共有三十八个州，其中有二十五个州在黄河南，十三个州在黄河北
春，正月，丁亥朔，魏主诏定乐章，非雅者除之	春季，正月，丁亥朔，北魏孝文帝下诏，审定音乐，凡是不够典雅的音乐，一律除掉
夏，五月，壬辰，魏主如灵泉池	夏季，五月，壬辰，孝文帝国主前往灵泉池
癸巳，魏南平王浑卒	癸巳，北魏南平王拓跋浑去世
甲午，魏主还平城	甲午，孝文帝返回平城
诏复七庙子孙及外戚缌麻服已上，赋役无所与	下诏免除皇家七庙的子孙以及五服以内的外戚的赋役
柔然伏名敦可汗残暴，其臣侯医石洛候数谏止之，且劝其与魏和亲	柔然可汗郁久闾豆仑凶狠残暴，他的大臣侯医、石洛侯多次劝谏、阻止他的行为，并且建议他和北魏和好联姻
伏名敦怒，族诛之，由是部众离心	郁久闾豆仑勃然大怒，下令诛杀侯医、石洛候全族，为此，他的部众离心离德
八月，柔然寇魏边，魏以尚书陆睿为都督，击柔然，大破之	八月，柔然汗国寇犯北魏边境，北魏任命尚书陆睿为都督，迎击柔然军，北魏军大获全胜
睿，丽之子也	陆睿是陆丽的儿子
九月，辛未，魏诏罢起部无益之作，出宫人不执机杼者	九月，辛未，北魏下诏，撤销对民生无益的工程，宫中不做纺织的宫女一概驱逐
冬，十月，丁未，又诏罢尚方锦绣、绫罗之工；四民欲造，任之无禁	冬季，十日，丁未，又下诏撤去尚方署绫罗锦绣的制造工程，士、农、工、商们如果打算自己织造，听任不禁
是时，魏久无事，府藏盈积	到这时为止，北魏已很久没有战事了，所以，国库库藏充盈
诏尽出御府衣服珍宝、太官杂器、太仆乘具、内库弓矢刀钤十分之八，外府衣物、缯布、丝纩非供国用者，以其太半班赉百司，下至工、商、皂隶，逮于六镇边戍，畿内鳏、寡、孤、独、贫、癃，皆有差	朝廷下诏，拿出皇家御库房内的衣物、珍奇宝物、太官使用的器具、太仆出外乘车用具及宫内库存崐的弓箭刀枪十分之八，以及宫外府库的衣服用具、丝绸、丝棉，不能供应朝廷使用的，把其中的一大半赏赐给文武百官，下至工匠，商贾以及衙役，直到在六镇戍守的边防士兵，以及京畿内的鳏夫、寡妇、孤儿、老人、贫民、残疾人，都按照等级分别赏赐
魏秘书令高、丞李彪奏请改《国书》编年为纪、传、表、志；魏主从之	北魏秘书令高、秘书丞李彪上奏请把《国书》的编年体例改为纪、传、表、志，孝文帝批准这一建议
，允之从祖弟也	高和高允是同一个曾祖父，高是高允的堂弟
十二月，诏彪与著作郎崔光改修国书	十二月，下诏，令丞李彪和著作郎崔光一起负责修订《国书》
光，道固之从孙也	崔光是崔道固的堂孙
春，正月，乙未，魏诏：犯死刑者，父母、祖父母年老，更无成人子孙，旁无期亲者，具状以闻	春季，正月，乙未，北魏下诏：对犯有死罪的人，如果他的父母、祖父母年老，又无成年的子孙，身边也没有穿一年以上的丧服的亲属，可以奏报朝廷
甲子，魏大赦	甲子，北魏实行大赦
魏筑城于醴阳，陈显达攻拔之，进攻阳	北魏在醴阳兴筑城池，陈显达攻克该城，乘胜进军阳
城中将士皆欲出战，镇将韦珍曰：彼初至气锐，未可与争，且共坚守，待其力攻疲弊，然后击之	阳城里的将士们都要出来迎战，但镇将韦珍说：他们刚刚到这里时士气旺盛，我们不可以和他们直接交锋，暂且一起在城里坚守城池，等到他们进攻得疲惫不堪时，再去攻击他们
乃凭城拒战，旬有二日，珍夜开门掩击，显达还	于是，韦珍率领将士们据守阳城进行抵抗，十二天后，韦珍率军借着黑夜的掩护，打开城门，突袭陈显达，陈显达撤退
五月，甲午，以宕昌王梁弥承为河、凉二州刺史	五月，甲午，南齐任命宕昌王梁弥承为河、凉二州刺史
九月，壬寅，上如琅邪城讲武	九月，壬寅，武帝前往琅邪城讲习武事
癸卯，魏淮南靖王佗卒	癸卯，北魏淮南靖王拓跋佗去世
魏主方享宗庙，始荐，闻之，为废祭，临视哀恸	当时，孝文帝正在皇家祖庙祭祀，刚刚献上第一道祭品，就得到拓跋佗去世的报告，他当即就停止了祭祀仪式，亲自去拓跋佗遗体旁哀悼恸哭
冬，十月，庚申，立冬，初临太极殿读时令	冬季，十月，庚申，立冬，南齐武帝第一次亲临太极殿，开始阅读历书
闰月，辛酉，以尚书仆射王奂为领军将军	闰十月，辛酉，南齐朝廷任命尚书仆射王奂为领军将军
十二月，柔然伊吾戍主高羔子帅众三千以城附魏	十二月，柔然汗国的伊吾守将高羔子率领三千名部属献出伊吾城池，归附北魏
上以中外谷帛至贱，用尚书右丞江夏李之议，出上库钱五千万及出诸州钱，皆令籴买	南齐武帝由于全国各地粮食和帛的价格太贱，就采纳了尚书右丞、江夏人李的建议，拿出国库库存的五千万钱和各州州库的现款，全部用来购买粮食
魏遣兵击百济，为百济所败	北魏朝廷派人进攻百济王国，被百济王国打败
春，正月，辛亥，上祀南郊，大赦	春季，正月，辛亥，南齐武帝前往南郊祭天，实行大赦
魏主祀南郊，始备大驾	孝文帝到平城南郊祭祀天神，开始使用大驾出行
壬戌，临川献王映卒	壬戌，南齐临川献王萧映去世
三月，甲寅，立皇子子岳为临贺王，子峻为广汉王，子琳为宣城王，子珉为义安王	三月，甲寅，武帝立皇子萧子岳为临贺王，萧子峻为广汉王，萧子琳为宣城王，萧子珉为义安王
庚戌，魏主祭方泽	庚戌，孝文帝在沼泽中建筑方坛，祭祀地神
上欲用领军王奂为尚书令，以问王晏	南齐武帝想要起用领军将军王奂为尚书令，征求王晏的意见
晏与奂不相能，对曰：柳世隆有勋望，恐不宜在奂后	王晏和王奂之间彼此不相容，王晏回答说：柳世隆建过大功，很有声望，恐怕不宜在王奂之下
甲子，以尚书左仆射柳世隆为尚书令，王奂为左仆射	甲子，武帝任命尚书左仆射柳世隆为尚书令，王奂为左仆射
六月，丁亥，上如琅邪城	六月，丁亥，南齐武帝前往琅邪城
秋，七月，丙寅，魏主如灵泉池	秋季，七月，丙寅，孝文帝前往灵泉池
魏主使群臣议，久与齐绝，今欲通使，何如	孝文帝召集文武百官讨论，我国和齐国断绝交往已经很久了，如今，我打算派人出使齐国，各位认为如何
尚书游明根曰：朝廷不遣使者，又筑醴阳深入彼境，皆直在萧赜	尚书游明根说：朝廷没有派人出使齐国，又深入齐国境地兴筑了醴阳城，这二件事的道理都在萧赜一边
今复遣使，不亦可乎	如今再派遣使节前去，这不是很好吗
魏崐主从之	孝文帝接受游明根的建议
八月，乙亥，遣兼员外散骑常侍邢产等来聘	八月，乙亥，派遣兼员外散骑常侍的邢产等人来访
九月，魏出宫人以赐北镇人贫无妻者	九月，北魏朝廷遣散出大批宫女，把她们赏赐给北方六镇没有妻子的贫民
冬十一月，己未，魏安丰匡王猛卒	冬季，十一月，己未，北魏安丰匡王拓跋猛去世
十二月，丙子，魏河东王苟颓卒	十二月，丙子，北魏河东王拓跋苟颓去世
平南参军颜幼明等聘于魏	南齐平南参军颜幼明等人前往北魏访问
魏以尚书令尉元为司徒，左仆射穆亮为司空	北魏朝廷任命尚书令尉元为司徒，左仆射穆亮为司空
太子詹事张绪领扬州中正，长沙王晃属用吴兴闻人邕为州议曹，绪不许	太子詹事张绪兼领扬州中正时，长沙王萧晃托付他起用吴兴人闻人邕为州议曹，张绪不同意
晃使书佐固请，绪正色曰：此是身家州乡，殿下何得见逼	于是，萧晃又派书佐坚持请求，张绪面色严肃地说：这里是我自己的家乡，殿下怎么能这么逼迫我
柔然别帅叱吕勤帅众降魏	柔然汗国另外一部落首领叱吕勤率众投降北魏
春，正月，诏放隔城俘二千余人还魏	春季，正月，南齐武帝颁下诏令，命令释放在隔城战斗中俘虏的二千多名士卒，送还北魏
乙丑，魏主如方山；二月，辛未，如灵泉；壬申，还宫	乙丑，返回宫中
甲午，魏遣兼员外散骑常侍邢产等来聘	甲午，北魏派遣兼员外散骑常侍邢产等人来访
五月，己酉，库莫奚寇魏边，安州都将楼龙儿击走之	五月，己酉，库莫奚部落寇犯北魏边境，被北魏安州都将楼龙儿击退
癸卯，大赦	癸卯，南齐实行大赦
丙午，魏主如方山；丙辰，遂如灵泉池；八月，丙寅朔，还宫	丙午，返回宫中
十二月，己卯，立皇子子建为湘东王	十二月，己卯，南齐武帝立皇子萧子建为湘东王
长沙威王晃卒	长沙威王萧晃去世
以百济王牟大为镇东大将军、百济王	南齐任命百济王国国王牟大为镇东大将军、封为百济王
春，正月，辛丑，上祀南效	春季，正月，辛丑，南齐武帝前往建康南郊祭天
丁卯，魏主始听政于皇信东室	丁卯，北魏孝文帝开始到皇信东室处理朝廷事务
诏太庙四时之祭：荐宣皇帝，起面饼、鸭；孝皇后，笋、鸭卵；高皇帝，肉脍、羹；昭皇帝，茗、、炙鱼：皆所嗜也	武帝下诏令皇家祖庙四季的祭品：在宣皇帝灵牌前供献起面饼和鸭肉羹；孝皇后灵牌前供奉嫩笋和鸭蛋；高皇帝灵牌前供奉细肉和肉酱粥；在昭皇后灵牌前供奉清茶、粽子和烤鱼
上梦太祖谓己：宋氏诸帝常在太庙从我求食，可别为吾致祠	这些供奉物，都是他们生前平时最喜欢吃的东西
乃命豫章王妃庾氏四时祠二帝、二后于清溪故宅	武帝梦见高帝对他说：宋朝那些皇帝常常挤到太庙里，跟着我要食物，你可以另找一个地方祭祀我
牲牢、服章，皆用家人礼	于是，命令豫章王萧嶷的妃子庾氏，春夏秋冬四季，在清溪旧宅里祭祀祖父母和父母，祭祀时所使用祭品以及要穿什么样的衣服，都按照家庭中的礼节进行
初，魏主召吐谷浑王伏连筹入朝，伏连筹辞疾不至，辄修洮阳、泥和二城，置戍兵焉	最初，孝文帝征召吐谷浑可汗慕容伏连筹到平城朝见，慕容伏连筹声称有病，没有前来，接着，他就开始修缮洮阳、泥和两座城池，并派兵戍守
二月，乙亥，魏罕镇长孙百年请击二戍，魏主许之	二月，乙亥，北魏罕的镇将长孙百年请求前去袭击洮阳、泥和两城，孝文帝批准
始兴简王鉴卒	南齐始兴简王萧鉴去世
三月，甲辰，魏主谒永固陵	三月，甲辰，孝文帝祭拜太皇太后的永固陵
夏，四月，癸亥朔，设荐于太和庙	夏季，四月，癸亥朔，在太和庙设置进献祭品，孝文帝开始吃了点儿蔬菜，追思伤感，悲哀痛哭一整天没有吃饭
魏主始进蔬食，追感哀哭，终日不饭；侍中冯诞等谏，经宿乃饭	侍中冯诞等人劝谏，过了一夜后，孝文帝才开始吃饭
甲子，罢朝夕哭	甲子，孝文帝停止早晚各哭一次的仪式
乙丑，复谒永固陵	乙丑，再次祭拜永固陵
